Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,7.781121700465556
M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,6.9716574750984375
F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,7.106335501550911
M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9.359316138996894
M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7.610495751494526
M,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,7.473940063586358
F,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,4.638597053337156
M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,7.579665421944886
F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,6.563457899689611
M,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,12.504756710990192
F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,10.5581997556608
M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,7.190677843309046
M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10.410483408765616
F,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9.309929958218634
M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,7.745165516453993
M,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,8.852520636346124
M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,7.916022490579084
M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10.473282790256283
F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,11.40431101907421
F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,7.675603986529083
M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,6.969776611368611
M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,15.10480226813321
F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,6.3328019920494825
F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,7.978246718297882
M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,9.101651194182645
M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,5.357115895209126
M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10.055194202334896
F,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,8.100310997594315
M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,3.53765607009354
M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,8.595149500034069
F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,9.63453935809218
F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,11.353183915123054
M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,9.012768722262614
M,0.655,0.515,0.16,1.31,0.553,0.369,0.345,10.569481399067906
F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,12.169737155037105
F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11.992040199742041
M,0.665,0.525,0.16,1.363,0.629,0.279,0.34,7.006213505743337
I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,5.67475815819529
F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9.941581844429818
F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,12.152322173486091
M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,11.580999190068622
F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9.07691158096296
M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,9.32661953298366
F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,5.968773575705457
M,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,8.909703533092904
M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,6.883294560431025
M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,14.582562330942725
F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9.785518437412485
F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,5.307569153824447
F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11.108580954861484
M,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,13.481341046643438
M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,11.152619324146224
F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,7.521870753780652
F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10.1125385951247
M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,3.7588750743288024
M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,10.6726018348052
F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12.588880493983732
M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,8.831313379454068
M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,9.740768578925735
F,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,6.670127271747998
F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,9.627860356345346
M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,9.48150898009458
F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,15.84525042966013
I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,5.5048668851437315
I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,5.803849525415765
I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,6.9343663640845286
I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,2.2453897719590667
I,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6.6222863041717215
I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,4.087469689088745
I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,7.3990688197400525
I,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5.5802790636875566
I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,9.118061586807986
I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,5.588792773582042
I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,8.743819860480766
I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,2.3222349885728164
I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,3.383311487294703
I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,5.383705196093161
I,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,7.525479294499795
I,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,2.866744541447618
I,0.35,0.27,0.075,0.215,0.1,0.036,0.065,4.190002846448775
I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8.973111852260756
I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,5.253554015294174
I,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,4.6073748250868585
I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,6.535920081586318
I,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,6.269718692289566
I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,6.495176822851125
I,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6.941251256609573
I,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5.104197332872622
I,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7.389652811553033
I,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6.288988427165299
I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,8.828444066273264
I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,5.18510467020619
I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,4.8723046504896805
I,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,3.4179489401917076
I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8.639622189667095
I,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,10.4927771222739
I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8.508645048058316
I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,6.394121482678721
I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,6.472493833855905
I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,6.974922778497829
I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8.17604065163129
I,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,7.816802117379784
I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,4.819014849793604
I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,4.590730743950295
I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,5.530262734527611
I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,5.24109977855349
I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,8.894588791594138
I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,2.529316334868728
I,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,6.413851677775382
I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,10.399051346173353
I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,7.1593096949954775
I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,7.52468041036868
I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,6.423482392155376
I,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,6.126309265138067
I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,10.043976641386319
I,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,9.648537377973854
F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8.077872733952596
I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,6.360488555712883
I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,8.216793956986011
I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,7.816911600212602
F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,7.541631280845729
I,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,12.33693449566849
I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,7.491325556384827
I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,9.900321613525374
I,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,4.209405435556681
I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,9.044336467444992
I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,11.454989930765123
I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8.897356369210197
I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,11.041967094801903
I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,5.699870181670225
I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,7.906144480764136
I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,5.000672275579472
I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,3.4375540003073697
M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,5.387374357177814
I,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,8.80558209129493
M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9.343100049013772
I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9.470387246888004
I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,12.205591716379057
I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7.340834967370686
I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,11.417000776369727
I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,9.57871273776902
I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,10.603123365896641
I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,9.690080573054512
I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,8.511523823608966
I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,15.394981778108182
I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,6.726717761169141
I,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,11.767493677095656
I,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,7.6397718997234225
I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,8.499909305206955
M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,10.559700318319079
I,0.53,0.415,0.13,0.694,0.3905,0.111,0.167,3.0411247090994324
I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,12.678441039606763
I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189,7.83936279534066
I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,11.07866788766209
I,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,7.029025999160004
I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,4.539097390668971
F,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,8.205214531618944
M,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,5.095163087143126
F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10.98085904962958
I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,10.264963904054126
I,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,7.578617515990461
F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9.915531911327696
I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,11.82264105355967
I,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8.679446762107148
I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,13.518974407655278
F,0.55,0.405,0.125,0.651,0.2965,0.137,0.2,8.901170326552924
M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,6.489518987379375
I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10.148906592480763
I,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,8.722103513017542
M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9.558374193205045
I,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,7.666521423522388
I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,7.047817711773763
I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,8.176717157120558
I,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,8.66651079273957
I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,7.230449145222983
F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,11.268863422072657
I,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,11.006731067867388
I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11.583642433544934
F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,11.398115701113701
M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,3.115994150273104
M,0.565,0.39,0.125,0.744,0.352,0.13,0.1685,13.328144464328117
I,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,7.951404903821725
I,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,12.986097225047898
F,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,8.73483568905684
M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,9.145994698908277
I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,7.168882276886698
M,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,10.487422435892787
F,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,11.919641394009787
F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,7.617535896753478
M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,7.223656268919239
M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,8.419775814002712
M,0.58,0.455,0.135,0.7955,0.405,0.167,0.204,9.147654500445721
F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,5.829178389691654
M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9.149681243136383
M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,9.872897249130082
I,0.585,0.475,0.16,1.0505,0.48,0.234,0.285,9.419646721793466
M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,11.018264824179965
M,0.585,0.47,0.165,1.409,0.8,0.229,0.295,9.693356722792531
M,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,11.77482055007386
M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8.833977197478491
I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,11.339802806568734
M,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,13.020118614781389
M,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,7.528500582851324
F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,7.035743927317748
F,0.595,0.465,0.155,1.026,0.4645,0.112,0.305,10.320612433447339
M,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,9.219833486227252
M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11.541741297493587
I,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,9.175774247318868
F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11.356746978905143
F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,7.05883492166134
M,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,12.973988142751745
I,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,11.923672189807933
M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,12.943859858635099
I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,14.728095061271201
F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,8.85097638698175
F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,8.309015971288916
M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,13.095634970659551
M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,13.41317874984931
M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10.818122396486263
I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,8.1037785867423
M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10.500212651828368
M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,8.162115746333379
F,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10.044034546452073
M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,12.337294294358303
M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,12.548690336134062
F,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,14.565472625457263
M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,8.146202170461848
M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,8.219285559685911
F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10.754647825424515
M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,9.837617288059578
M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,11.63285933150077
F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10.794815043762839
F,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,9.658246673928572
M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,8.407938929777504
F,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,13.31598288709012
F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9.424277412856124
F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,9.615169389468704
F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,6.212063606829393
I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,10.655863630117873
M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,10.440024784853957
I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,7.406066991618439
M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,10.330641105075069
M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,15.135722013651947
F,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,8.390957516621082
F,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,10.704882060159182
M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,12.053717395712292
M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,8.399797900141964
M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15.230652775180252
M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,9.43331517014829
M,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,13.796861365342359
M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,5.828561671379199
M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11.626369216733803
F,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,7.955631278698114
F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,15.385301896188832
M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,11.541573887964876
M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,4.2189323801005445
F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,9.739646325206536
F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10.83246472371053
M,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13.666577117139393
F,0.655,0.52,0.19,1.4545,0.6,0.3865,0.383,8.770199721888844
M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10.346950847978183
F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,8.819604985286878
F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,7.157470540391493
F,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,10.470591336416962
F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,12.905091158969894
F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,7.4996985748653
M,0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,13.290516276488223
M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9.959855503479343
F,0.695,0.565,0.19,1.7635,0.7465,0.399,0.4975,12.308556111012054
F,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,11.752355678593059
M,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,8.360144861194335
M,0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11.979414519017508
F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,13.429377129089733
F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,9.001369851098657
F,0.72,0.575,0.17,1.9335,0.913,0.389,0.51,12.757280610460892
M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12.729111682233855
F,0.725,0.6,0.2,1.737,0.697,0.3585,0.595,12.62008163425501
F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,10.099648801806616
F,0.735,0.565,0.205,2.1275,0.949,0.46,0.565,10.695331076396174
F,0.745,0.57,0.215,2.25,1.1565,0.446,0.558,10.10741791130502
F,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,12.975456176049512
F,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,16.500129649433816
I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,1.8719595814606151
I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,5.506765303137319
I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,4.418470887472788
I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,7.915783169775832
I,0.37,0.27,0.095,0.232,0.1325,0.041,0.0615,5.600254812079422
I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,4.177536153874217
I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,7.325308613918029
I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,7.053735063033461
I,0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,7.322369619589583
I,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,4.473448804601409
I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,9.482813894503394
I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,3.3082546182217487
I,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6.042289456289068
I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,4.124665076620196
M,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,6.83229593010406
I,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,7.077993373395793
I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,4.4796125855645785
I,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5.639918521941109
M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8.155835519386104
I,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,6.342020640877772
M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6.343037907899071
I,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,8.407620523256153
I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,5.745214507212042
I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,8.913015299992093
I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,4.967550427599187
I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,8.232632385139459
M,0.475,0.37,0.125,0.649,0.347,0.136,0.142,8.783620926442428
I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,10.193618163525038
F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,8.157244880507074
I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,5.802376616636611
I,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6.040105885435916
M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,10.958917139933115
M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6.3149674954395785
F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,6.2493416493374
M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,8.761145486312353
F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,11.041337305735729
I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,9.806434480669706
M,0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,5.387128435096134
I,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,7.449136528755611
M,0.52,0.4,0.125,0.559,0.254,0.139,0.149,8.625811363848554
M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,11.900022201995897
I,0.53,0.43,0.13,0.7045,0.346,0.1415,0.189,8.71406653097255
M,0.53,0.4,0.125,0.7575,0.398,0.151,0.175,10.559601067504282
F,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9.187401902997971
F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,4.102188382991907
M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,10.125039521096033
F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,7.888581863587857
F,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,5.5632620813825735
M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8.00888298165755
M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9.857697507064467
M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,10.896751227917552
F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,6.624730281364873
F,0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,6.955442885022564
M,0.585,0.455,0.15,0.906,0.4095,0.23,0.2335,6.383524598910178
M,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,9.85227502419808
F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,11.012663568231439
F,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,5.2453774037559455
F,0.595,0.455,0.16,1.04,0.452,0.2655,0.288,8.456912889375376
M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,7.762456533726469
M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,11.742321698967437
F,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,14.613936539307158
F,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,9.507496475501172
F,0.605,0.515,0.17,1.289,0.6,0.2945,0.3315,10.17066767923711
F,0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,12.028744514615552
I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,7.470674426315102
M,0.62,0.485,0.155,1.049,0.462,0.231,0.25,7.044792117647156
F,0.62,0.435,0.155,1.012,0.477,0.236,0.275,3.8242113181062134
